product_name,image_name,score
Miller Canola Oil 2ltr,canola-oil-2ltr,95
Miller Vegetable Oil 4ltr,MILLER_VEGETABLE_OIL_5LT,94
Miswak Tooth Paste 190g,miswak-tooth-paste-190g-1694164372,95
Miswak Toothpaste 120 gm,miswak-toothpaste-120gm-1629166187_thumb,88
Mitchells Chick Peas 440g,MITCHELLS_CHICKPEAS_440G,98
Mithai Master Jalebi 300g,jalebi,90
Modern Kitchens Banana Chips Chilli 200g,modern-kitchen-banana-chips-chilli-200g-1704442785,87
Modern Kitchens Banana Chips Plain 200g,modern-kitchens-banana-chips-pepper-200g-1700643032,87
Modern Kitchens Chikki Bar 200g,bru-original-200g,86
Modern Kitchens Masala Boondi 500g,masala-gur-jar_thumb,86
Modern Kitchens Potato Chips Masala 180g,masala-gur-jar_thumb,86
Modern Kitchens Potato Chips Masala 200g,masala-gur-jar_thumb,86
Modern Kitchens Puffed Rice Laddu 250g,amma-hand-pounded-parboiled-rice-mottai-karuppan-1kg-1703739547_thumb,86
Modern Kitchens Raitha Boondi 500g,modern-kitchens-raitha-boondi-500g-1704350651,95
Modern Kitchens Thick Sev 500g,modern-kitchens-thick-sev-500g-1704340469,95
Modern Kitchens Thin Sev 400g,kozhi-kodens-andhra-mixture-400g-1704343143_thumb,86
Monarch Indian Razor,indian-classic-baheda-psc-100g-1717829300,86
Monika Lemon Juice 250ml,MONIKA_LEMON_JUICE_250ML,100
Monika Lime Juice 250 Ml,monika-lime-juice-250-ml-1694666533,95
Monika Tandoori Paste 570 g,ashoka-mild-curry-paste-300gx12-1693304343_thumb,86
Monster Zero Sugar Green 500ml,latas-kitchen-aam-papad-green-150g-1695277785,86
Monster Ultra Energy Drink White 500ml,boost-chocolate-energy-sports-nutrition-drink-pet-jar-450g_thumb,86
Monster Energy Ultra Rosa Zero 500ml,monster-energy-ultra-gold-zero-sugar-500ml,88
Monster Mango Loco 500ml,patanjali-honey-500ml-1704965509_thumb,86
Monster Energy Gold 500ml,patanjali-honey-500ml-1704965509_thumb,86
Moov Cream 50g,cherish-vanilla-cream-wafer-85g-1687422987,86
Moov Spray 35g,MOOV_SPRAY_35GM,97
Morning Fresh Dishwashing Lemon 400ml,morning-fresh-dishwashing-liquid-lime-400ml-1693374338,87
Morning Fresh D Antibacterial Oange amp,morning-fresh-d-antibacterial-oange-amp-tea-400ml-1693373844,90
Morning Fresh Dishwashing Liquid Lime 400 ml,morning-fresh-dishwashing-liquid-lime-400ml-1693374338,88
Mortein Fast Knockdown Spray 350 ml,white-king-lemon-toilet-gel-cleanser-700-ml-1685180065,86
Mother Energy Drink 500ml,mother-berry-energy-drink-500ml_thumb,95
Mother Foods Whipped Butter 250ml,mother-foods-whipped-butter-250-ml-1665994565_thumb,87
Mother Recipe Green Chilli Pickle 500g,MOTHERS_GREEN_CHILLI_PICKLE_500G,89
Mother Recipe Lime and Chilli Pickle 500g,MOTHER_LIME_amp_CHILLI_PICKLE_500G,89
Mother Recipe Mango Chhundo Pickle 575g,mango-bar-green_thumb,86
Mother Recipe Mango Pickle Hot 500g,MOTHERS_MANGO_PICKLE_HOT_500G,88
Mother Recipe Punjabi Mango Pickle 500g,MOTHERS_PUNJABI_MANGO_PICKLE_500G,89
Mother Recipe Punjabi Pachranga Pickle 500g,PUNJABI_PACHRANGA_PICKLE_1KG_MOTHER,89
Mother Recipe South Ind Mixed Pick 300g,MOTHER_CHICKEN_CURRY_80G,86
Mother Recipe Stuffed Red Chilli Pi 500g,MOTHER_CHICKEN_CURRY_80G,86
Mother Recipe Sweet Mango Chutney 340g,MOTHER_SWEET_MANGO_CHUTNEY_340G,95
Mother Recipe Tamarind Paste 1kg,amma-hand-pounded-parboiled-rice-mottai-karuppan-1kg-1703739547_thumb,86
Mother Recipe Tamarind Paste 320g,fmf-wholemeal-breakfast-crackers-320g-1704410812_thumb,86
MOTHERS TANDOORI PASTE 300G,MOTHER_TANDOORI_PASTE_MED_300G,91
Mr Mukhwas Delhi Paan Delight 150 gm,poppin-popcorn-tripple-butter-flavor-100-gm-1687227809_thumb,86
Mr Mukhwas Kachi Keri,SWEET_MANGO_PICKLE_GOR_KERI_340GM,86
Mr Mukhwas Khajur Mix,saurbhi-handva-mix-flour-1lbs-1694766257_thumb,86
Mr Mukhwas Meetha Aam Papad,latas-kitchen-aam-papad-green-150g-1695277785,86
Mr. Mukhwas Banarasi Paan 170g,mr-soya-bean-sauce,86
Mr. Mukhwas Delhi Paan 150g,latas-kitchen-aam-papad-green-150g-1695277785,86
Mr. Mukhwas Madrasi Sauf 170g,mr-soya-bean-sauce,86
Mr. Mukhwas Sweet Mango Bites 140g,mr-mukhwas-sweet-mango-bites-140g,99
MT BANANA CHILLY CHIPS 200G,MT_BANANA_CHILLY_CHIPS_200G,100
MT Tapioca Sticks 180 gm,thurga-sri-saibaba-incense-sticks-120s_thumb,86
MTR Badam Milk 180 Ml,m-m,90
Mtr Dosa Idli Chilly Chutney Powder,MTR_CHANA_MASALA_300GMS,86
Mtr Dosa Mix 500 G,MTR_DOSA_MIX_500G1,94
Mtr Garam Masala 100 Gm,GARAM_MASALA_100GM_MTR,93
MTR Idli Karam Podi 100 gm,mangal-idli-dosa-100gm-1628254695_thumb,86
MTR Karivepaku 100 gm,mtr-mutter-paneer-300gm-1666177850,86
MTR Rava Dosa 500g,MTR_RAVA_DOSA_500G,100
MTR Rava Idli Mix 1kg,MTR_RAVA_IDLI_MIX_500G1,86
Mtr Sambar Mix 200 G,MTR_SAMBAR_MIX_200G,97
Mtr Sambar Powder 200g,MTR_SAMBAR_POWDER_200G,100
Mtr Uttappam 500g,mtr-uttappam-500g,100
Mtr Vada 500 Gm,MTR_CHANA_MASALA_300GMS,86
MTR Vangi Bhath Masala 100 gm,saffola-masala-oats-peppy-tomato-482g-1687419377,86
Mukesh Jasmine Agarbathi 100g,santoor-soap-100g,86
Mukesh Rose Agarbathi 100g,red-ruby-onion-vadam-100g-1703651825_thumb,86
Mysore Sandal Gold 125gm,MYSORE_SANDAL_GOLD_125G,98
Mysore Sandal Rose Soap 150gm,MYSORE_SANDAL_SOAP_150GMS,89
Mysore Sandal Soap 75g,MYSORE_SANDAL_SOAP_75G,100
Mysore Sandal Soap Value Pack 450g,MEHAR_NAN_KHATAI_450G,86
Mysore Sandals Lavender Soap 150gm,santoor-soap-100g,86
Nail Clipper 1pc,nail-clipper-1pc-1694164419,90
Nail Polish Remover,avid-acetone-free-nail-polish-remover-120ml_thumb,90
Nanak Aloo Tikki 720g,aloo-tikki-720gm-nanak,93
Nanak Chili Paneer Bites 454 G,nanak-chili-paneer-bites-454g,98
Nanak Fried Paneer (Cubes) 1kg,nanak-paneer-cubes-fried-1kg-1666411122,95
Nanak Ghee 1.6kg,nanak-ghee-16kg-1629364957_thumb,87
Nanak Ghee 400 g,nanak-ghee-400gm-1666184319_thumb,87
Nanak Ghee 800g,nanak-ghee-800gm-1666006278,90
Nanak Gulab jamun 908g,nanak-gulab-jamun-908gm-1628498168,90
Nanak Kaju Katli 255g,haldiram-kaju-pista-cookies-1660992714_thumb,86
Nanak Kesar Rasmalai 850g,pure-desi-kulfi-kesar-flavour-60ml_thumb,86
Nanak Mango Rasmalai 850g,nanak-mango-rasmalai-850g-1695008394,95
Nanak Milk Cake 400 g,tcc-coconut-milk-165ml-1687333655,86
Nanak Paneer (Cubes) 1kg,nanak-paneer-cubes-1kg-1666166649,95
Nanak Paneer Pakora 454 g,PANEER_PAKORA_454GM_NANAK,91
Nanak Rasmalai 850g,nanak-rasmalai-850g-1695008448,90
Nanak Tandoori Paneer Poppers 454 g,tandoori-paneer-poppers-454gm-nanak,92
Nanak Veggie Burger Patties 640 gm,veggie-burger-patties-640gm-nanak,94
Narasu Antham 500g,bolsts-mild-curry-powder-500g-1697441407_thumb,86
Narasu Delite Filter Coffee 500g,ms-anarsa-pith-500g,86
Narasu Dhivyam Coffee 500g,bolsts-mild-curry-powder-500g-1697441407_thumb,86
Narasu Instant Strong 200g,deewal-multanni-mitti-200g-1693379920_thumb,86
Narasu Pb 500 Gm,haldiram-murruku-200-gm-1661145816,86
Narasus Insta Strong 100g,narasu-insta-strong,86
Narasus Udhayam Coffee 500g,narasus-udhayam-coffee-500g-1674791616,95
Native Yellow Thukpa Noodles 500g,date-pitted-500g_thumb,86
Neha Herbal Mehandi Cone 25 g,neha-herbal-mehandi-cone-25-g-1693376200,95
Neha Rachni Mehandi 500 gm,NEHA_RACHNI_MEHANDI_500GM,98
Nestle Condensed Milk 395g,nippys-iced-chocolate-flavour-milk-500ml_thumb,86
Nestle kitkat 45g,nestle-coffee-amp-milk-385g-1674795334,86
Nestle Munch 18g,nestle-coffee-amp-milk-385g-1674795334,86
Nirapara Mutton Masala 160 gm,NIRAPARA_MUTTON_MASALA_200G,89
Nivea Lemon Shower Gel,patanjali-aloe-vera-gel-150-ml-1687408232_thumb,86
Nivea Pure Impact Shower Gel,patanjali-aloe-vera-gel-150-ml-1687408232_thumb,86
Northbrook Lightly Sparkling Water 500ml,northbrook-lightly-sparkling-water-500ml-1694661913_thumb,95
Nupur Heena 150g,latas-kitchen-aam-papad-green-150g-1695277785,86
Nupur Heena 400g,nupur-henna-400gm,91
Nur Jahan Basmati Rice 5 kg,udaya-kus-c-seeraga-samba-rice-1kg-1674832490,86
Nutrela Soya Chunks 220 g,nutrela-soya-chunks-220g,98
Nycil 50g,miracle-m-manchurian-chings-50g-1629402021,86
Nycil Cool Sandal Powder 150gm,bolsts-mild-curry-powder-500g-1697441407_thumb,86
Nycil Rose Powder 150gm,mangal-degchi-powder-100gm-1659347852_thumb,86
Odomos Naturals Mosquito Repellent Spray,fogg-bleu-skies-spray,86
Oreo Original 128 g,oreo-original-120g,92
