product_name,image_name,status,copied_file
Miller Canola Oil 2ltr,canola-oil-2ltr,Success,Miller Canola Oil 2ltr.jpg
Miller Vegetable Oil 4ltr,MILLER_VEGETABLE_OIL_5LT,Success,Miller Vegetable Oil 4ltr.jpg
Miswak Tooth Paste 190g,miswak-tooth-paste-190g-1694164372,Success,Miswak Tooth Paste 190g.jpg
Miswak Toothpaste 120 gm,miswak-toothpaste-120gm-1629166187_thumb,Failed - No matching file found,None
Mitchells Chick Peas 440g,MITCHELLS_CHICKPEAS_440G,Success,Mitchells Chick Peas 440g.jpg
Mithai Master Jalebi 300g,jalebi,Success,Mithai Master Jalebi 300g.png
Modern Kitchens Banana Chips Chilli 200g,modern-kitchen-banana-chips-chilli-200g-1704442785,Success,Modern Kitchens Banana Chips Chilli 200g.jpg
Modern Kitchens Banana Chips Plain 200g,modern-kitchens-banana-chips-pepper-200g-1700643032,Success,Modern Kitchens Banana Chips Plain 200g.png
Modern Kitchens Chikki Bar 200g,bru-original-200g,Success,Modern Kitchens Chikki Bar 200g.png
Modern Kitchens Masala Boondi 500g,masala-gur-jar_thumb,Failed - No matching file found,None
Modern Kitchens Potato Chips Masala 180g,masala-gur-jar_thumb,Failed - No matching file found,None
Modern Kitchens Potato Chips Masala 200g,masala-gur-jar_thumb,Failed - No matching file found,None
Modern Kitchens Puffed Rice Laddu 250g,amma-hand-pounded-parboiled-rice-mottai-karuppan-1kg-1703739547_thumb,Failed - No matching file found,None
Modern Kitchens Raitha Boondi 500g,modern-kitchens-raitha-boondi-500g-1704350651,Success,Modern Kitchens Raitha Boondi 500g.jpg
Modern Kitchens Thick Sev 500g,modern-kitchens-thick-sev-500g-1704340469,Success,Modern Kitchens Thick Sev 500g.jpg
Modern Kitchens Thin Sev 400g,kozhi-kodens-andhra-mixture-400g-1704343143_thumb,Failed - No matching file found,None
Monarch Indian Razor,indian-classic-baheda-psc-100g-1717829300,Success,Monarch Indian Razor.jpg
Monika Lemon Juice 250ml,MONIKA_LEMON_JUICE_250ML,Success,Monika Lemon Juice 250ml.png
Monika Lime Juice 250 Ml,monika-lime-juice-250-ml-1694666533,Success,Monika Lime Juice 250 Ml.jpg
Monika Tandoori Paste 570 g,ashoka-mild-curry-paste-300gx12-1693304343_thumb,Failed - No matching file found,None
Monster Zero Sugar Green 500ml,latas-kitchen-aam-papad-green-150g-1695277785,Success,Monster Zero Sugar Green 500ml.jpg
Monster Ultra Energy Drink White 500ml,boost-chocolate-energy-sports-nutrition-drink-pet-jar-450g_thumb,Failed - No matching file found,None
Monster Energy Ultra Rosa Zero 500ml,monster-energy-ultra-gold-zero-sugar-500ml,Success,Monster Energy Ultra Rosa Zero 500ml.png
Monster Mango Loco 500ml,patanjali-honey-500ml-1704965509_thumb,Failed - No matching file found,None
Monster Energy Gold 500ml,patanjali-honey-500ml-1704965509_thumb,Failed - No matching file found,None
Moov Cream 50g,cherish-vanilla-cream-wafer-85g-1687422987,Success,Moov Cream 50g.jpg
Moov Spray 35g,MOOV_SPRAY_35GM,Success,Moov Spray 35g.jpg
Morning Fresh Dishwashing Lemon 400ml,morning-fresh-dishwashing-liquid-lime-400ml-1693374338,Success,Morning Fresh Dishwashing Lemon 400ml.jpg
Morning Fresh D Antibacterial Oange amp,morning-fresh-d-antibacterial-oange-amp-tea-400ml-1693373844,Success,Morning Fresh D Antibacterial Oange amp.jpg
Morning Fresh Dishwashing Liquid Lime 400 ml,morning-fresh-dishwashing-liquid-lime-400ml-1693374338,Success,Morning Fresh Dishwashing Liquid Lime 400 ml.jpg
Mortein Fast Knockdown Spray 350 ml,white-king-lemon-toilet-gel-cleanser-700-ml-1685180065,Success,Mortein Fast Knockdown Spray 350 ml.jpg
Mother Energy Drink 500ml,mother-berry-energy-drink-500ml_thumb,Failed - No matching file found,None
Mother Foods Whipped Butter 250ml,mother-foods-whipped-butter-250-ml-1665994565_thumb,Failed - No matching file found,None
Mother Recipe Green Chilli Pickle 500g,MOTHERS_GREEN_CHILLI_PICKLE_500G,Success,Mother Recipe Green Chilli Pickle 500g.jpg
Mother Recipe Lime and Chilli Pickle 500g,MOTHER_LIME_amp_CHILLI_PICKLE_500G,Success,Mother Recipe Lime and Chilli Pickle 500g.jpg
Mother Recipe Mango Chhundo Pickle 575g,mango-bar-green_thumb,Failed - No matching file found,None
Mother Recipe Mango Pickle Hot 500g,MOTHERS_MANGO_PICKLE_HOT_500G,Success,Mother Recipe Mango Pickle Hot 500g.jpg
Mother Recipe Punjabi Mango Pickle 500g,MOTHERS_PUNJABI_MANGO_PICKLE_500G,Success,Mother Recipe Punjabi Mango Pickle 500g.jpg
Mother Recipe Punjabi Pachranga Pickle 500g,PUNJABI_PACHRANGA_PICKLE_1KG_MOTHER,Success,Mother Recipe Punjabi Pachranga Pickle 500g.png
Mother Recipe South Ind Mixed Pick 300g,MOTHER_CHICKEN_CURRY_80G,Success,Mother Recipe South Ind Mixed Pick 300g.png
Mother Recipe Stuffed Red Chilli Pi 500g,MOTHER_CHICKEN_CURRY_80G,Success,Mother Recipe Stuffed Red Chilli Pi 500g.png
Mother Recipe Sweet Mango Chutney 340g,MOTHER_SWEET_MANGO_CHUTNEY_340G,Success,Mother Recipe Sweet Mango Chutney 340g.jpg
Mother Recipe Tamarind Paste 1kg,amma-hand-pounded-parboiled-rice-mottai-karuppan-1kg-1703739547_thumb,Failed - No matching file found,None
Mother Recipe Tamarind Paste 320g,fmf-wholemeal-breakfast-crackers-320g-1704410812_thumb,Failed - No matching file found,None
MOTHERS TANDOORI PASTE 300G,MOTHER_TANDOORI_PASTE_MED_300G,Success,MOTHERS TANDOORI PASTE 300G.jpg
Mr Mukhwas Delhi Paan Delight 150 gm,poppin-popcorn-tripple-butter-flavor-100-gm-1687227809_thumb,Failed - No matching file found,None
Mr Mukhwas Kachi Keri,SWEET_MANGO_PICKLE_GOR_KERI_340GM,Success,Mr Mukhwas Kachi Keri.jpg
Mr Mukhwas Khajur Mix,saurbhi-handva-mix-flour-1lbs-1694766257_thumb,Failed - No matching file found,None
Mr Mukhwas Meetha Aam Papad,latas-kitchen-aam-papad-green-150g-1695277785,Success,Mr Mukhwas Meetha Aam Papad.jpg
Mr. Mukhwas Banarasi Paan 170g,mr-soya-bean-sauce,Success,Mr. Mukhwas Banarasi Paan 170g.jpg
Mr. Mukhwas Delhi Paan 150g,latas-kitchen-aam-papad-green-150g-1695277785,Success,Mr. Mukhwas Delhi Paan 150g.jpg
Mr. Mukhwas Madrasi Sauf 170g,mr-soya-bean-sauce,Success,Mr. Mukhwas Madrasi Sauf 170g.jpg
Mr. Mukhwas Sweet Mango Bites 140g,mr-mukhwas-sweet-mango-bites-140g,Success,Mr. Mukhwas Sweet Mango Bites 140g.jpg
