ProductID,Product Name,Product Description,Cost Price,Selling Price,Eat Out Price,Popup Notes,Tax Percentage,Eat Out Tax Percentage,Category Name,Brand Name,Measurement Scheme,Unit Of Sale,Volume Of Sale,Unit Of Purchase, Volume Of Purchase,Barcode,Supplier,OrderCode,RRP,Product Type,Article Code,Tare Weight,Button Colour,Multiple Choice Note Name,Till Order,SKU,Sell On Till,Sell On Web, Is Variable Price, Is Tax Exempt Eligible, Is Excluded From Loyalty Points Gain, Additional Suppliers,Delete Product, Product Tags, Archived Product, Container Fee
9946773,Miller Canola Oil 2ltr,Miller Canola Oil 2ltr,5.92000,7.59000,5.99000,,0.0000,,Oil & ghee,,,,,,,9325566024668,Sabrini Foods,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946780,Miller Vegetable Oil 4ltr,Miller Vegetable Oil 4ltr,9.40000,15.99000,0.00000,,10.0000,,Oil & ghee,,,,,,,9325566028017# 9325566034261,Sabrini Foods,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946781,Miswak Tooth Paste 190g,Miswak Tooth Paste 190g,2.50000,4.29000,4.29000,,10.0000,,Cosmetics,,,,,,,6291069206906,Indya Foods,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946782,Miswak Toothpaste 120 gm,Miswak Toothpaste 120 gm,1.85000,3.99000,3.99000,,10.0000,,Confectionery,,,,,,,8901009111631,Indya Foods,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946787,Mitchells Chick Peas 440g,Mitchells Chick Peas 440g,2.50000,3.99000,0.00000,,0.0000,,Ready to eat# cook,,,,,,,8961005100121,Freshco Foods,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946794,Mithai Master Jalebi 300g,Mithai Master Jalebi 300g,5.50000,7.99000,7.99000,,0.0000,,Sweets,,,,,,,744109305030,BYS tradelink,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946799,Modern Kitchens Banana Chips Chilli 200g,Modern Kitchens Banana Chips Chilli 200g,2.05000,3.49000,3.49000,,10.0000,,Snacks & chips,,,,,,,8901576000314,Mala Impex Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946801,Modern Kitchens Banana Chips Plain 200g,Modern Kitchens Banana Chips Plain 200g,2.05000,3.49000,3.49000,,10.0000,,Snacks & chips,,,,,,,8901576000130,Mala Impex Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946802,Modern Kitchens Chikki Bar 200g,Modern Kitchens Chikki Bar 200g,1.95000,3.29000,0.00000,,10.0000,,Snacks & chips,,,,,,,8901576001502,Mala Impex Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946804,Modern Kitchens Masala Boondi 500g,Modern Kitchens Masala Boondi 500g,3.75000,5.99000,0.00000,,0.0000,,Snacks & chips,,,,,,,8901576005036,Mala Impex Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946808,Modern Kitchens Potato Chips Masala 180g,Modern Kitchens Potato Chips Masala 180g,2.15000,3.99000,3.99000,,10.0000,,Snacks & chips,,,,,,,8901576010115,Mala Impex Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946809,Modern Kitchens Potato Chips Masala 200g,Modern Kitchens Potato Chips Masala 200g,2.05000,3.19000,3.19000,,10.0000,,Snacks & chips,,,,,,,8901576000079,Mala Impex Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946810,Modern Kitchens Puffed Rice Laddu 250g,Modern Kitchens Puffed Rice Laddu 250g,2.15000,3.49000,0.00000,,10.0000,,Snacks & chips,,,,,,,8901576001311,Mala Impex Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946812,Modern Kitchens Raitha Boondi 500g,Modern Kitchens Raitha Boondi 500g,3.75000,5.99000,0.00000,,0.0000,,Snacks & chips,,,,,,,8901576005029,Mala Impex Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946814,Modern Kitchens Thick Sev 500g,Modern Kitchens Thick Sev 500g,3.45000,4.99000,4.99000,,10.0000,,Snacks & chips,,,,,,,8901576004046,Mala Impex Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946815,Modern Kitchens Thin Sev 400g,Modern Kitchens Thin Sev 400g,3.45000,4.99000,0.00000,,0.0000,,Snacks & chips,,,,,,,8901576004022,Mala Impex Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946818,Monarch Indian Razor,Monarch Indian Razor,3.50000,6.99000,6.99000,,10.0000,,Cosmetics,,,,,,,9467055418067,Avi International,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946819,Monika Lemon Juice 250ml,Monika Lemon Juice 250ml,1.53000,2.29000,2.29000,,0.0000,,Soup,,,,,,,9311503152150,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946820,Monika Lime Juice 250 Ml,Monika Lime Juice 250 Ml,1.53000,2.29000,2.29000,,0.0000,,Soup,,,,,,,9311503152259,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946822,Monika Tandoori Paste 570 g,Monika Tandoori Paste 570 g,3.75000,5.49000,5.49000,,0.0000,,Spices mixes# masala,,,,,,,9311503290906,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946823,Monster Zero Sugar Green 500ml,Monster Zero Sugar Green 500ml,2.90000,3.99000,3.99000,,10.0000,,Drinks,,,,,,,9342866000888# 9342866001182,Coles,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946824,Monster Ultra Energy Drink White 500ml,Monster Ultra Energy Drink White 500ml,2.90000,3.99000,3.99000,,10.0000,,Drinks,,,,,,,9342866000871,ALDI,,,Standard,,,,,,,y,n,y,n,n,,n,,n,
9946825,Monster Energy Ultra Rosa Zero 500ml,Monster Energy Ultra Rosa Zero 500ml,2.90000,3.99000,3.99000,,0.0000,,Drinks,,,,,,,9342866001007,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946827,Monster Mango Loco 500ml,Monster Mango Loco 500ml,2.40000,3.99000,3.99000,,10.0000,,Drinks,,,,,,,9342866000796# 9342866000635,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946828,Monster Energy Gold 500ml,Monster Energy Gold 500ml,2.17000,3.99000,3.99000,,10.0000,,Drinks,,,,,,,9342866001069# 9342866001083,Coles,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946830,Moov Cream 50g,Moov Cream 50g,5.50000,9.49000,9.49000,,10.0000,,Miscellaneous,,,,,,,8901177100505,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946831,Moov Spray 35g,Moov Spray 35g,5.50000,8.99000,5.99000,,10.0000,,Miscellaneous,,,,,,,8901177100352# 8901396389705,Rai Imports,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946833,Morning Fresh Dishwashing Lemon 400ml,Morning Fresh Antibacterial Lemon 400ml,2.99000,4.99000,4.49000,,10.0000,,Confectionery,,,,,,,9300615055831# 8998103018348,Chang & Mei Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946835,Morning Fresh D Antibacterial Oange amp,Morning Fresh D Antibacterial Oange amp Tea 400ml,2.85000,4.49000,4.49000,,10.0000,,Confectionery,,,,,,,9300615055855,Chang & Mei Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946838,Morning Fresh Dishwashing Liquid Lime 400 ml,Morning Fresh Dishwashing Liquid Lime 400 ml,2.99000,4.99000,4.49000,,10.0000,,Confectionery,,,,,,,9300615055800,Chang & Mei Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946839,Mortein Fast Knockdown Spray 350 ml,Mortein Fast Knockdown Spray 350 ml,7.99000,11.99000,9.99000,,10.0000,,Confectionery,,,,,,,9310045400217# 8906001053644,Chang & Mei Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946841,Mother Energy Drink 500ml,Mother Energy Drink 500ml,2.20000,3.99000,3.99000,,10.0000,,Drinks,,,,,,,1220000061521# 1220000060005,ALDI,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946843,Mother Foods Whipped Butter 250ml,Mother Foods Whipped Butter 250ml,4.75000,6.69000,0.00000,,0.0000,,Frozen,,,,,,,9352348000862,Reliable Exim,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946850,Mother Recipe Green Chilli Pickle 500g,Mother Recipe Green Chilli Pickle 500g,3.50000,4.99000,4.49000,,0.0000,,Pickles,,,,,,,8906001055204,Continental,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946852,Mother Recipe Lime and Chilli Pickle 500g,Mother Recipe Lime and Chilli Pickle 500g,3.50000,5.29000,4.49000,,0.0000,,Pickles,,,,,,,8906001055327# 8906001055365,Continental,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946853,Mother Recipe Mango Chhundo Pickle 575g,Mother Recipe Mango Chhundo Pickle 575g,3.75000,5.49000,5.49000,,0.0000,,Pickles,,,,,,,8906001055402,Continental,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946854,Mother Recipe Mango Pickle Hot 500g,Mother Recipe Mango Pickle Hot 500g,3.50000,4.99000,4.69000,,0.0000,,Pickles,,,,,,,8906001055426,Continental,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946859,Mother Recipe Punjabi Mango Pickle 500g,Mother Recipe Punjabi Mango Pickle 500g,3.50000,5.29000,4.99000,,0.0000,,Pickles,,,,,,,8906001055488,Continental,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946862,Mother Recipe Punjabi Pachranga Pickle 500g,Mother Recipe Punjabi Pachranga Pickle 500g,3.50000,5.49000,4.99000,,0.0000,,Pickles,,,,,,,8906001055501,Continental,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946866,Mother Recipe South Ind Mixed Pick 300g,Mother Recipe South Ind Mixed Pick 300g,2.10000,3.99000,3.99000,,0.0000,,Pickles,,,,,,,8906001055143,Continental,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946867,Mother Recipe Stuffed Red Chilli Pi 500g,Mother Recipe Stuffed Red Chilli Pi 500g,3.75000,5.49000,4.99000,,0.0000,,Pickles,,,,,,,8906001055549,Continental,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946868,Mother Recipe Sweet Mango Chutney 340g,Mother Recipe Sweet Mango Chutney 340g,3.05000,4.49000,4.49000,,0.0000,,Pickles,,,,,,,8906001055679,Continental,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946869,Mother Recipe Tamarind Paste 1kg,Mother Recipe Tamarind Paste 1kg,6.70000,9.49000,9.49000,,0.0000,,Ready to eat# cook,,,,,,,8907316000781,Continental,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946870,Mother Recipe Tamarind Paste 320g,Mother Recipe Tamarind Paste 320g,3.00000,4.29000,4.29000,,0.0000,,Chutney# paste & sauces,,,,,,,8906001056058,Continental,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946879,MOTHERS TANDOORI PASTE 300G,MOTHERS TANDOORI PASTE 300G,3.25000,4.99000,4.99000,,0.0000,,Chutney# paste & sauces,,,,,,,8906001056263,Continental,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946888,Mr Mukhwas Delhi Paan Delight 150 gm,Mr Mukhwas Delhi Paan Delight 150 gm,3.25000,4.99000,4.99000,,0.0000,,Mukhavas,,,,,,,0,Conscious SRM Imports,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946892,Mr Mukhwas Kachi Keri,Mr Mukhwas Kachi Keri,3.25000,4.99000,4.99000,,0.0000,,Mukhavas,,,,,,,5847862415215,Conscious SRM Imports,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946893,Mr Mukhwas Khajur Mix,Mr Mukhwas Khajur Mix,1.99000,4.49000,4.49000,,0.0000,,Mukhavas,,,,,,,5847862412191,Conscious SRM Imports,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946894,Mr Mukhwas Meetha Aam Papad,Mr Mukhwas Meetha Aam Papad,1.00000,5.00000,5.00000,,10.0000,,Chutney# paste & sauces,,,,,,,5847862412504,Conscious SRM Imports,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946897,Mr. Mukhwas Banarasi Paan 170g,Mr. Mukhwas Banarasi Paan 170g,2.74000,3.99000,3.99000,,10.0000,,Mukhavas,,,,,,,M00901R,Conscious SRM Imports,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946898,Mr. Mukhwas Delhi Paan 150g,Mr. Mukhwas Delhi Paan 150g,3.84000,4.99000,4.99000,,10.0000,,Mukhavas,,,,,,,,Conscious SRM Imports,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946899,Mr. Mukhwas Madrasi Sauf 170g,Mr. Mukhwas Madrasi Sauf 170g,2.74000,3.99000,3.99000,,10.0000,,Mukhavas,,,,,,,M001601R,Conscious SRM Imports,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946900,Mr. Mukhwas Sweet Mango Bites 140g,Mr. Mukhwas Sweet Mango Bites 140g,2.74000,3.99000,3.99000,,0.0000,,Mukhavas,,,,,,,m00701r,Conscious SRM Imports,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946901,MT BANANA CHILLY CHIPS 200G,MT BANANA CHILLY CHIPS 200G,2.50000,3.99000,3.99000,,10.0000,,Snacks & chips,,,,,,,8906082391673,Wales Trading Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946906,MT Tapioca Sticks 180 gm,MT Tapioca Sticks 180 gm,1.75000,2.99000,2.99000,,10.0000,,Snacks & chips,,,,,,,8901576001823,Mala Impex Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946909,MTR Badam Milk 180 Ml,MTR Badam Milk 180 Ml,1.31000,2.29000,2.29000,,10.0000,,Drinks,,,,,,,8901042961217,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946913,Mtr Dosa Idli Chilly Chutney Powder,Mtr Dosa Idli Chilly Chutney Powder,2.20000,4.49000,4.49000,,0.0000,,Spices mixes# masala,,,,,,,8901042954776,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946914,Mtr Dosa Mix 500 G,Mtr Dosa Mix 500 G,2.57000,3.49000,3.49000,,0.0000,,Instant mix,,,,,,,8901042957968,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946915,Mtr Garam Masala 100 Gm,Mtr Garam Masala 100 Gm,3.00000,4.49000,4.49000,,0.0000,,Spices mixes# masala,,,,,,,8901042958781,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946917,MTR Idli Karam Podi 100 gm,MTR Idli Karam Podi 100 gm,1.80000,3.99000,3.99000,,0.0000,,Instant mix,,,,,,,8901042971155,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946920,MTR Karivepaku 100 gm,MTR Karivepaku 100 gm,3.61000,4.49000,4.49000,,0.0000,,Instant mix,,,,,,,8901042971179,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946926,MTR Rava Dosa 500g,MTR Rava Dosa 500g,2.84000,4.99000,4.99000,,0.0000,,Spices mixes# masala,,,,,,,8901042954530,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946927,MTR Rava Idli Mix 1kg,MTR Rava Idli Mix 1kg,4.07000,5.99000,5.49000,,0.0000,,Instant mix,,,,,,,8901042957074,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946931,Mtr Sambar Mix 200 G,Mtr Sambar Mix 200 G,2.27000,3.99000,3.99000,,0.0000,,Instant mix,,,,,,,8901042954585,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946932,Mtr Sambar Powder 200g,Mtr Sambar Powder 200g,4.40000,5.29000,6.29000,,0.0000,,Instant mix,,,,,,,8901042954714,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946935,Mtr Uttappam 500g,Mtr Uttappam 500g,3.50000,3.99000,3.99000,,0.0000,,Spices mixes# masala,,,,,,,8901042958439,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946936,Mtr Vada 500 Gm,Mtr Vada 500 Gm,4.18000,5.49000,5.49000,,0.0000,,Instant mix,,,,,,,8901042957975,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946937,MTR Vangi Bhath Masala 100 gm,MTR Vangi Bhath Masala 100 gm,1.84000,3.99000,3.99000,,0.0000,,Instant mix,,,,,,,8901042954769,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946939,Mukesh Jasmine Agarbathi 100g,Mukesh Jasmine Agarbathi 100g,1.49000,2.69000,2.69000,,10.0000,,Pooja items,,,,,,,8906002652792,Khushboo Foods Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946941,Mukesh Rose Agarbathi 100g,Mukesh Rose Agarbathi 100g,1.49000,2.69000,2.69000,,10.0000,,Pooja items,,,,,,,8906002652693,Khushboo Foods Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946946,Mysore Sandal Gold 125gm,Mysore Sandal Gold 125gm,2.50000,4.99000,4.99000,,10.0000,,Cosmetics,,,,,,,8901287101010,Avi International,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946948,Mysore Sandal Rose Soap 150gm,Mysore Sandal Rose Soap 150gm,1.40000,2.69000,2.69000,,10.0000,,Cosmetics,,,,,,,8901287111118,Avi International,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946950,Mysore Sandal Soap 75g,Mysore Sandal Soap 75g,1.38000,2.49000,2.49000,,10.0000,,Cosmetics,,,,,,,8901287100013,Mala Impex Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946951,Mysore Sandal Soap Value Pack 450g,Mysore Sandal Soap Value Pack 450g,6.05000,9.99000,9.99000,,10.0000,,Cosmetics,,,,,,,8901287100518,Reliance Secure Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946953,Mysore Sandals Lavender Soap 150gm,Mysore Sandals Lavender Soap 150gm,1.40000,2.99000,2.99000,,10.0000,,Cosmetics,,,,,,,8901287111149,Avi International,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946954,Nail Clipper 1pc,Nail Clipper 1pc,1.85000,2.99000,2.99000,,10.0000,,Cosmetics,,,,,,,4895418504082,Chang & Mei Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946955,Nail Polish Remover,Nail Polish Remover,3.99000,3.99000,3.99000,,0.0000,,Flour & besan,,,,,,,162312,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946956,Nanak Aloo Tikki 720g,Nanak Aloo Tikki 720g,10.00000,13.99000,13.99000,,0.0000,,Frozen snacks,,,,,,,797677704705,Katoomba Trading Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946957,Nanak Chili Paneer Bites 454 G,Nanak Chili Paneer Bites 454 G,10.00000,14.99000,14.99000,,0.0000,,Frozen snacks,,,,,,,797677714506,Katoomba Trading Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
9946960,Nanak Fried Paneer (Cubes) 1kg,Nanak Fried Paneer (Cubes) 1kg,22.00000,30.99000,30.99000,,0.0000,,Frozen,,,,,,,797677703500,Katoomba Trading Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
